"Level","Date","Mr","Message"
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - workstation-code:W963"
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - user-agent:bruno-runtime/2.1.0"
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.support.provisioning.store.TransactionStoreDelegateImpl - Finding DomObject for transaction 'PFMHT010-01-PE'."
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.support.provisioning.store.manager.xml.mapping.XmlFileMappingManagerImpl - Search XML transaction file with key PFMHT010-01-PE ."
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.support.provisioning.store.manager.xml.mapping.XmlFileMappingManagerImpl - Search XML transaction file with key PFMHT010-01-PE ."
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - customerId: 00001171"
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - paginationKey: "
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - pageSize: 3"
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - profileId: R20100285585"
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - InputListInvestmentFundsDTO: {profileId=R20100285585, customerId=00001171, pageSize=3, paginationKey=}"
"INFO","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - [JsonOtmaPgApxUnmarshaller] - returning transactionRequest: TransactionRequest [messageID=a9cbc065-dc51-4c3b-89bd-b15ba0cdc52b, uid=null, logicalProtocol=PG, executionCountryCode=PE, header=CommonRequestHeader [headerParamsMap={AUTHORIZATIONCODE=00000000, LOGICALTRANSACTIONCODE=PFMHT010, CLIENTDOCUMENT=0123456789012345678901234, CONTACTIDENTIFIER=1072, REQUESTID=c78e2482-693b-493d-8a06-5fb4da220999, AGENTUSER=bruno-runtime/2.1.0, HEADERNAME=QP06, AUTHORIZATIONVERSION=00, COUNTRYCODE=PE, XFORWARDEDFOR=150.100.55.254, APPLICATIONCODE=PFMH, TXCLASS=30, CURRENCY=PEN, VERSIONCODE=01, ORIGIN=ejemplo, MANAGERUSER=P028036, OPERATIVEBRANCHCODE=9999, CHANNELCODE=BM, SERVICEID=012345678901234, IPADDRESS=0.0.0.0, WORKSTATIONCODE=W963, AAP=13000123, SECONDARYCURRENCY=USD, ACCOUNTINGTERMINAL=VIRT, PRODUCTCODE=0001, ENVIRONCODE=01, USERCODE=ZG13003, OPERATIONTIME=103000, REMAININGTIME=012345, TYPECODE=01, TRANSACTIONCODE=T010, APP=ether-apx, LANGUAGECODE=ES, OPERATIONDATE=20250627, SUBTYPECODE=01, OPERATIVEENTITYCODE=0011, CLIENTIDENTIFICATIONTYPE=1, MAC=example, ENTITYCODE=0011, BRANCHCODE=9999, PID=null}], body=GenericBody [transactionParameters=Parameter [name=InputListInvestmentFundsDTO, value={profileId=R20100285585, customerId=00001171, pageSize=3, paginationKey=}]]]"
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.aspect.impl.TransactionMonitorizationAspectImpl - [MONITORIZATION]Retrieving the transaction monitorization header info for the transaction with messageId a9cbc065-dc51-4c3b-89bd-b15ba0cdc52b"
"DEBUG","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.control.service.ControllerServiceActivatorImpl - Execute the  Synchronous transaction T010"
"INFO","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionGeneratorUidPidHandler - [HANDLER-CVM2DCO61_QWPO_E01_10_2025-11-24 22:45:23.617_429] State: TRANSACTION_CREATE_UID_PID"
"INFO","25/11/2025 03:44:37:551","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionDataLoadHandler - [HANDLER-CVM2DCO61_QWPO_E01_10_2025-11-24 22:45:23.617_429] State: TRANSACTION_INITIALIZATION"
