"Level","Date","Mr","Message"
"INFO","01/09/2025 19:26:28:293","RuntimeOnline","com.bbva.elara.utility.interbackend.cics.impl.InterBackendCicsUtilsImpl - Looking the copy: FMC7"
"INFO","01/09/2025 19:26:28:293","RuntimeOnline","com.bbva.elara.utility.interbackend.cics.impl.InterBackendCicsUtilsImpl - SendMessageRequest created: SendMessageRequest{trxProperties=TrxProperties{name='FMC7', type='01', subtype='01', version='01'}, hostAttributes=[HostAttribute{value='97172679', name='NUMCLIE', type='STRING_TYPE', size=8, position=1, decimal=0, signed=false, mandatory=true, subgroups=[]}, HostAttribute{value='null', name='IDPAGIN', type='STRING_TYPE', size=35, position=2, decimal=0, signed=false, mandatory=false, subgroups=[]}, HostAttribute{value='null', name='TAMPAGI', type='STRING_TYPE', size=3, position=3, decimal=0, signed=false, mandatory=false, subgroups=[]}], batchAttributes=[]}"
"INFO","01/09/2025 19:26:28:293","RuntimeOnline","com.bbva.elara.utility.interbackend.cics.impl.InterBackendCicsUtilsImpl - InterBackendCicsUtilis execution for uuaa PFMH"
"DEBUG","01/09/2025 19:26:28:293","RuntimeOnline","com.bbva.elara.configuration.manager.application.impl.ApplicationConfigurationManagerImpl - Looking for property cics.cicsConnection.http"
"INFO","01/09/2025 19:26:28:293","RuntimeOnline","com.bbva.elara.utility.interbackend.invoker.cics.impl.InvokerCicsImpl - interBackendUtility false, looking app connectionPrefix for cicsConnection"
"DEBUG","01/09/2025 19:26:28:293","RuntimeOnline","com.bbva.elara.configuration.manager.application.impl.ApplicationConfigurationManagerImpl - Looking for property cics.cicsConnection.connectionPrefix"
"DEBUG","01/09/2025 19:26:28:293","RuntimeOnline","com.bbva.elara.configuration.manager.application.impl.ApplicationConfigurationManagerImpl - Looking for property cics.cicsConnection.host"
"DEBUG","01/09/2025 19:26:28:293","RuntimeOnline","com.bbva.elara.configuration.manager.application.impl.ApplicationConfigurationManagerImpl - Looking for property cics.cicsConnection.port"
"INFO","01/09/2025 19:26:28:481","RuntimeOnline","com.bbva.elara.utility.interbackend.invoker.cics.socket.SocketInteraction - Socket SSL interaction send with connection: PhysicalConnection{host=150.250.156.46, port=3635, connectionTimeout=3000, readTimeout=1000}"
"INFO","01/09/2025 19:26:28:481","RuntimeOnline","com.bbva.elara.utility.interbackend.invoker.cics.impl.Interaction - Request message to encode at Transport layer Socket protocol : FMC7,ZG13003  "
"INFO","01/09/2025 19:26:28:481","RuntimeOnline","com.bbva.elara.utility.interbackend.invoker.cics.impl.Interaction - Request message to encode at Transport layer Socket protocol : <IH>AXVIRT    ZG13003 01234567FMC7                                                                          00640BMRP028036                  ns/ether.pe.apx.online/mrs/RhoTraces/spans/null                                                                       PFMHT010                 13000123    ether-apx   ejemplo     0.0.0.0            bruno-runtime/2.9.1                                                                                                                                                                                     0000000000 20250627103000      012311</IH><ME>004697172679                                      </ME>"
