"Level","Date","Mr","Message"
"INFO","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.utility.jdbc.connector.impl.JdbcUtilsImpl - Query for list with query code: KUSU.getGlobalUserAccountId1"
"INFO","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.utility.jdbc.connector.impl.JdbcUtilsImpl - Getting query: KUSU.getGlobalUserAccountId1"
"INFO","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.utility.jdbc.connector.impl.JdbcUtilsImpl - Getting query: KUSU.getGlobalUserAccountId1"
"DEBUG","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.utility.jdbc.connector.impl.QueryExecutorLogger - [SQL-KUSU.getGlobalUserAccountId1] SQL: query = SELECT COE.G_USER_ACCOUNT_ID FROM KUSU.T_KUSU_COEXISTENCE_USER COE WHERE COE.GF_LOCAL_USER_ACCOUNT_ID = :GF_LOCAL_USER_ACCOUNT_ID AND (G_OFFLINE_DELETE_IND_TYPE != 'Y' OR G_OFFLINE_DELETE_IND_TYPE IS NULL)"
"INFO","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.utility.jdbc.connector.impl.JdbcUtilsImpl - Getted query: KUSU.getGlobalUserAccountId1 ,with SQL: SELECT COE.G_USER_ACCOUNT_ID FROM KUSU.T_KUSU_COEXISTENCE_USER COE WHERE COE.GF_LOCAL_USER_ACCOUNT_ID = :GF_LOCAL_USER_ACCOUNT_ID AND (G_OFFLINE_DELETE_IND_TYPE != 'Y' OR G_OFFLINE_DELETE_IND_TYPE IS NULL)"
"DEBUG","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.utility.jdbc.connector.impl.QueryExecutorLogger - [SQL-KUSU.getGlobalUserAccountId1] Parameter: GF_LOCAL_USER_ACCOUNT_ID = 97172679"
"INFO","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.utility.jdbc.connector.impl.JdbcUtilsImpl - Getted query: KUSU.getGlobalUserAccountId1 ,with SQL: SELECT COE.G_USER_ACCOUNT_ID FROM KUSU.T_KUSU_COEXISTENCE_USER COE WHERE COE.GF_LOCAL_USER_ACCOUNT_ID = :GF_LOCAL_USER_ACCOUNT_ID AND (G_OFFLINE_DELETE_IND_TYPE != 'Y' OR G_OFFLINE_DELETE_IND_TYPE IS NULL)"
"DEBUG","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.support.jdbc.manager.impl.JdbcManagerImpl - Get CommonJdbcTemplate for the uuaa 'kusu' with database name 'db2'."
"DEBUG","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.dao.template.CommonJdbcTemplateImpl - Query for list-Map with SQL: SELECT COE.G_USER_ACCOUNT_ID FROM KUSU.T_KUSU_COEXISTENCE_USER COE WHERE COE.GF_LOCAL_USER_ACCOUNT_ID = :GF_LOCAL_USER_ACCOUNT_ID AND (G_OFFLINE_DELETE_IND_TYPE != 'Y' OR G_OFFLINE_DELETE_IND_TYPE IS NULL)"
"DEBUG","01/09/2025 19:26:29:050","RuntimeOnline","com.bbva.elara.semaas.tracers.SemaasTracer - setting parent's span in MDC context to return the execution to the calling method"
