"Level","Date","Mr","Message"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - executeGetGlobalUserAccountId-1 START -> R20457373296"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - executeGetGlobalUserAccountId-2 START -> R20457373296"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - entityCode-2 START -> null"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - getEntityCode -> 0011"
"INFO","04/12/2025 21:37:23:486","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - getHeaderAap -> 13000123"
"DEBUG","04/12/2025 21:37:23:486","RuntimeOnline","com.bbva.elara.configuration.manager.application.impl.ApplicationConfigurationManagerImpl - Looking for property kusu.skipCrendentials"
"INFO","04/12/2025 21:37:23:488","UuaasDefault","com.bbva.kusu.lib.r205.impl.dao.Dao - Query KUSU.getGlobalUserAccountId1 --> []"
"INFO","04/12/2025 21:37:23:488","UuaasDefault","com.bbva.kusu.lib.r205.impl.dao.Dao - calculated=null # input=R20457373296"
"INFO","04/12/2025 21:37:23:488","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - executeGetGlobalUserAccountId END -> R20457373296"
"DEBUG","04/12/2025 21:37:23:488","RuntimeOnline","com.bbva.elara.semaas.tracers.SemaasTracer - setting parent's span in MDC context to return the execution to the calling method"
