"Level","Date","Mr","Message"
"INFO","01/09/2025 19:26:29:047","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - executeGetGlobalUserAccountId-1 START -> 97172679"
"INFO","01/09/2025 19:26:29:047","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - executeGetGlobalUserAccountId-2 START -> 97172679"
"INFO","01/09/2025 19:26:29:047","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - entityCode-2 START -> null"
"INFO","01/09/2025 19:26:29:047","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - getEntityCode -> 0011"
"INFO","01/09/2025 19:26:29:047","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - getHeaderAap -> 13000123"
"DEBUG","01/09/2025 19:26:29:047","RuntimeOnline","com.bbva.elara.configuration.manager.application.impl.ApplicationConfigurationManagerImpl - Looking for property kusu.skipCrendentials"
"INFO","01/09/2025 19:26:29:050","UuaasDefault","com.bbva.kusu.lib.r205.impl.dao.Dao - Query KUSU.getGlobalUserAccountId1 --> []"
"INFO","01/09/2025 19:26:29:050","UuaasDefault","com.bbva.kusu.lib.r205.impl.dao.Dao - calculated=null # input=97172679"
"INFO","01/09/2025 19:26:29:050","UuaasDefault","com.bbva.kusu.lib.r205.impl.KUSUR205Impl - executeGetGlobalUserAccountId END -> 97172679"
"DEBUG","01/09/2025 19:26:29:050","RuntimeOnline","com.bbva.elara.semaas.tracers.SemaasTracer - setting parent's span in MDC context to return the execution to the calling method"
